Path,Size
mobile/lib/utils/backup_progress.dart,2522
mobile/lib/utils/bytes_units.dart,396
mobile/lib/utils/color_filter_generator.dart,2572
mobile/lib/utils/datetime_comparison.dart,140
mobile/lib/utils/db.dart,668
mobile/lib/utils/debounce.dart,1465
mobile/lib/utils/diff.dart,1931
mobile/lib/utils/draggable_scroll_controller.dart,1117
mobile/lib/utils/hash.dart,343
mobile/lib/utils/http_ssl_cert_override.dart,1367
mobile/lib/utils/image_url_builder.dart,2229
mobile/lib/utils/immich_app_theme.dart,8008
mobile/lib/utils/immich_loading_overlay.dart,1798
mobile/lib/utils/map_utils.dart,4223
mobile/lib/utils/migration.dart,510
mobile/lib/utils/renderlist_generator.dart,1005
mobile/lib/utils/selection_handlers.dart,4614
mobile/lib/utils/storage_indicator.dart,444
mobile/lib/utils/string_helper.dart,196
mobile/lib/utils/throttle.dart,1459
mobile/lib/utils/url_helper.dart,683
mobile/lib/utils/version_compatibility.dart,463
mobile/openapi/.openapi-generator/VERSION,6
mobile/openapi/lib/api.dart,10155
mobile/openapi/lib/api_client.dart,26846
mobile/openapi/lib/api_exception.dart,834
mobile/openapi/lib/api_helper.dart,6162
mobile/test/fixtures/album.stub.dart,1636
mobile/test/fixtures/asset.stub.dart,929
mobile/test/fixtures/user.stub.dart,756
open-api/typescript-sdk/src/fetch-client.ts,81765
open-api/typescript-sdk/src/fetch-errors.ts,341
open-api/typescript-sdk/src/index.ts,1007
server/src/bin/sync-open-api.ts,657
server/src/bin/sync-sql.ts,5893
server/src/commands/index.ts,571
server/src/commands/list-users.command.ts,528
server/src/commands/oauth-login.ts,775
server/src/commands/password-login.ts,819
server/src/commands/reset-admin-password.command.ts,1511
server/src/controllers/activity.controller.ts,1655
server/src/controllers/album.controller.ts,3249
server/src/controllers/api-key.controller.ts,1487
server/src/controllers/app.controller.ts,585
server/src/controllers/asset-media.controller.ts,5065
server/src/controllers/asset.controller.ts,3112
server/src/controllers/audit.controller.ts,666
server/src/controllers/auth.controller.ts,2484
server/src/controllers/download.controller.ts,1131
server/src/controllers/duplicate.controller.ts,629
server/src/controllers/face.controller.ts,958
